P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.999996,4e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.99999,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.999981,1.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.99996,4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.999929,7.1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.999883,0.000117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.999796,0.000204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.999661,0.000339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.999484,0.000516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.999231,0.000769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.998886,0.001114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.998384,0.001616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.997672,0.002328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.996782,0.003218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.995558,0.004441,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.994053,0.005946,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.992095,0.007904,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.989643,0.010354,3e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.986634,0.013363,3e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.982916,0.01708,4e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.978439,0.021555,6e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.973149,0.026838,1.3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.966781,0.033192,2.7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.959335,0.04061,5.5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.950586,0.049304,0.00011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.940608,0.059194,0.000198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.929193,0.07047,0.000337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.916295,0.083169,0.000536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.90167,0.097514,0.000816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.885582,0.113181,0.001237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.867375,0.130772,0.001853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.847575,0.149656,0.002769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.826011,0.169966,0.004021,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.802674,0.191561,0.005758,7e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.777137,0.214814,0.008035,1.4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.749852,0.239159,0.010962,2.7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.72087,0.264481,0.014599,5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.69002,0.290544,0.019339,9.7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.658286,0.316207,0.025345,0.000162,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.625466,0.341471,0.032782,0.000281,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.59131,0.366432,0.041762,0.000496,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.556346,0.39052,0.052328,0.000806,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.520986,0.412667,0.06502,0.001327,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.485228,0.433147,0.079518,0.002107,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.449751,0.450816,0.096312,0.003121,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.414366,0.465857,0.115139,0.004638,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.379451,0.477773,0.135981,0.006793,2e-06,0.0,0.0,0.0,0.0,0.0,0.0
0.345419,0.486197,0.158678,0.009701,5e-06,0.0,0.0,0.0,0.0,0.0,0.0
0.312511,0.490501,0.183495,0.013485,8e-06,0.0,0.0,0.0,0.0,0.0,0.0
0.281151,0.490548,0.209816,0.01847,1.5e-05,0.0,0.0,0.0,0.0,0.0,0.0
0.251052,0.487122,0.236857,0.024933,3.6e-05,0.0,0.0,0.0,0.0,0.0,0.0
0.223137,0.478964,0.26485,0.032976,7.3e-05,0.0,0.0,0.0,0.0,0.0,0.0
0.19665,0.467512,0.292664,0.043028,0.000146,0.0,0.0,0.0,0.0,0.0,0.0
0.172126,0.452338,0.320235,0.055008,0.000293,0.0,0.0,0.0,0.0,0.0,0.0
0.149507,0.434296,0.346093,0.069573,0.000531,0.0,0.0,0.0,0.0,0.0,0.0
0.129084,0.413145,0.37041,0.086417,0.000944,0.0,0.0,0.0,0.0,0.0,0.0
0.110435,0.389809,0.392108,0.106102,0.001546,0.0,0.0,0.0,0.0,0.0,0.0
0.09365,0.364462,0.410981,0.128457,0.00245,0.0,0.0,0.0,0.0,0.0,0.0
0.078727,0.337679,0.426209,0.153556,0.003829,0.0,0.0,0.0,0.0,0.0,0.0
0.065649,0.310259,0.436813,0.181412,0.005865,2e-06,0.0,0.0,0.0,0.0,0.0
0.054305,0.282544,0.443491,0.210878,0.00878,2e-06,0.0,0.0,0.0,0.0,0.0
0.04454,0.254675,0.445498,0.242526,0.012749,1.2e-05,0.0,0.0,0.0,0.0,0.0
0.036134,0.227014,0.443315,0.275508,0.018003,2.6e-05,0.0,0.0,0.0,0.0,0.0
0.029068,0.200786,0.436093,0.309194,0.024787,7.2e-05,0.0,0.0,0.0,0.0,0.0
0.023338,0.175743,0.424356,0.342757,0.033654,0.000152,0.0,0.0,0.0,0.0,0.0
0.018326,0.152203,0.409064,0.375428,0.044678,0.000301,0.0,0.0,0.0,0.0,0.0
0.014279,0.130442,0.390692,0.405622,0.058395,0.00057,0.0,0.0,0.0,0.0,0.0
0.01109,0.110648,0.368521,0.434337,0.074411,0.000993,0.0,0.0,0.0,0.0,0.0
0.008576,0.092969,0.343459,0.459663,0.093687,0.001646,0.0,0.0,0.0,0.0,0.0
0.006562,0.077131,0.317575,0.480173,0.115769,0.00279,0.0,0.0,0.0,0.0,0.0
0.004918,0.063565,0.289795,0.496496,0.140738,0.004488,0.0,0.0,0.0,0.0,0.0
0.003707,0.05176,0.261674,0.507929,0.16798,0.00695,0.0,0.0,0.0,0.0,0.0
0.002737,0.04174,0.233433,0.513989,0.197766,0.010335,0.0,0.0,0.0,0.0,0.0
0.001985,0.033317,0.206224,0.514092,0.229406,0.014976,0.0,0.0,0.0,0.0,0.0
0.001425,0.026171,0.180464,0.508398,0.262367,0.021173,2e-06,0.0,0.0,0.0,0.0
0.001014,0.020314,0.156243,0.497157,0.296061,0.029201,1e-05,0.0,0.0,0.0,0.0
