model,J,q_capacity,# consumers,method,success,beta1,fun_obj optimo,fun_obj,secuencialidad de elecciones,X_1,std_error_beta1,p_value_beta1
Sequential,5,22,100,l-bfgs-b,True,3.0124670185713907,121.4977168231889,123.17513421672211,"[2. 0. 4. 0. 0. 0. 3. 3. 3. 0. 0. 3. 0. 0. 2. 3. 0. 4. 0. 0. 2. 3. 0. 0.
 0. 0. 4. 0. 4. 0. 0. 0. 3. 4. 0. 3. 4. 0. 0. 4. 1. 1. 3. 2. 4. 4. 3. 4.
 1. 4. 1. 1. 3. 3. 4. 4. 1. 3. 3. 4. 2. 3. 1. 3. 1. 3. 4. 3. 3. 4. 4. 3.
 4. 3. 1. 3. 2. 2. 1. 4. 1. 4. 1. 1. 1. 4. 2. 1. 4. 2. 1. 2. 2. 2. 2. 1.
 1. 1. 2. 1.]",[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287],0.55843485417978,6.872134439284139e-08
No Sequential,5,22,100,l-bfgs-b,True,0.3104255580635652,160.66707045865,170.22541233635107,"[2. 0. 4. 0. 0. 0. 3. 3. 3. 0. 0. 3. 0. 0. 2. 3. 0. 4. 0. 0. 2. 3. 0. 0.
 0. 0. 4. 0. 4. 0. 0. 0. 3. 4. 0. 3. 4. 0. 0. 4. 1. 1. 3. 2. 4. 4. 3. 4.
 1. 4. 1. 1. 3. 3. 4. 4. 1. 3. 3. 4. 2. 3. 1. 3. 1. 3. 4. 3. 3. 4. 4. 3.
 4. 3. 1. 3. 2. 2. 1. 4. 1. 4. 1. 1. 1. 4. 2. 1. 4. 2. 1. 2. 2. 2. 2. 1.
 1. 1. 2. 1.]",[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287],0.4114305153492942,0.4505472447416574
Sequential,5,22,100,l-bfgs-b,True,1.875700999318658,143.2484606076202,143.28054429917213,"[4. 4. 0. 0. 0. 0. 1. 0. 4. 3. 0. 0. 0. 3. 1. 4. 2. 3. 2. 0. 3. 3. 3. 1.
 3. 4. 0. 0. 0. 0. 4. 2. 0. 1. 0. 1. 1. 1. 4. 0. 1. 0. 3. 0. 3. 4. 0. 0.
 1. 0. 0. 1. 3. 2. 4. 3. 4. 3. 2. 2. 3. 2. 2. 4. 1. 2. 2. 4. 2. 4. 1. 1.
 3. 4. 3. 3. 1. 2. 4. 1. 2. 1. 1. 4. 4. 2. 4. 3. 2. 3. 1. 3. 4. 1. 1. 2.
 2. 2. 3. 4.]",[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287],0.4913017414351106,0.0001346367789589742
No Sequential,5,22,100,l-bfgs-b,True,0.23401248689978776,160.78877544449833,171.1192711338585,"[4. 4. 0. 0. 0. 0. 1. 0. 4. 3. 0. 0. 0. 3. 1. 4. 2. 3. 2. 0. 3. 3. 3. 1.
 3. 4. 0. 0. 0. 0. 4. 2. 0. 1. 0. 1. 1. 1. 4. 0. 1. 0. 3. 0. 3. 4. 0. 0.
 1. 0. 0. 1. 3. 2. 4. 3. 4. 3. 2. 2. 3. 2. 2. 4. 1. 2. 2. 4. 2. 4. 1. 1.
 3. 4. 3. 3. 1. 2. 4. 1. 2. 1. 1. 4. 4. 2. 4. 3. 2. 3. 1. 3. 4. 1. 1. 2.
 2. 2. 3. 4.]",[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287],0.4156809499090972,0.5734609108222235
Sequential,5,22,100,l-bfgs-b,True,2.0248265987575733,130.62590741329748,130.62725532130426,"[0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 4. 3. 0. 2. 3. 1. 1. 1. 2. 0. 1. 0. 3.
 1. 0. 2. 4. 1. 2. 0. 3. 0. 2. 1. 0. 1. 2. 1. 0. 3. 3. 0. 1. 1. 0. 2. 1.
 4. 1. 0. 2. 0. 0. 1. 1. 3. 1. 1. 2. 3. 1. 2. 3. 3. 2. 4. 3. 2. 1. 4. 1.
 4. 3. 3. 4. 4. 3. 3. 4. 4. 3. 3. 3. 3. 3. 2. 2. 3. 4. 3. 4. 4. 2. 4. 4.
 2. 2. 4. 4.]",[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287],0.47781977244661605,2.258848996805618e-05
No Sequential,5,22,100,l-bfgs-b,True,0.3065982041724776,160.67403754468234,170.27058185847872,"[0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 4. 3. 0. 2. 3. 1. 1. 1. 2. 0. 1. 0. 3.
 1. 0. 2. 4. 1. 2. 0. 3. 0. 2. 1. 0. 1. 2. 1. 0. 3. 3. 0. 1. 1. 0. 2. 1.
 4. 1. 0. 2. 0. 0. 1. 1. 3. 1. 1. 2. 3. 1. 2. 3. 3. 2. 4. 3. 2. 1. 4. 1.
 4. 3. 3. 4. 4. 3. 3. 4. 4. 3. 3. 3. 3. 3. 2. 2. 3. 4. 3. 4. 4. 2. 4. 4.
 2. 2. 4. 4.]",[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287],0.41163951631788415,0.45637927998281436
Sequential,5,22,100,l-bfgs-b,True,2.058832662981049,140.08674130617266,140.09395968189628,"[0. 0. 0. 3. 1. 2. 0. 3. 0. 3. 0. 0. 3. 3. 3. 0. 0. 0. 0. 0. 2. 3. 3. 4.
 4. 0. 0. 2. 2. 2. 0. 0. 1. 4. 0. 1. 0. 4. 2. 0. 3. 2. 2. 0. 1. 1. 2. 1.
 1. 0. 0. 1. 1. 2. 4. 4. 3. 4. 3. 4. 1. 1. 1. 1. 1. 3. 1. 4. 3. 4. 4. 4.
 3. 3. 1. 1. 3. 4. 2. 1. 4. 1. 2. 2. 3. 3. 2. 1. 1. 4. 4. 3. 3. 3. 4. 4.
 1. 3. 4. 4.]",[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287],0.4893626637759719,2.5858687459523466e-05
No Sequential,5,22,100,l-bfgs-b,True,0.33810441232348254,160.6138340172207,169.8970559941022,"[0. 0. 0. 3. 1. 2. 0. 3. 0. 3. 0. 0. 3. 3. 3. 0. 0. 0. 0. 0. 2. 3. 3. 4.
 4. 0. 0. 2. 2. 2. 0. 0. 1. 4. 0. 1. 0. 4. 2. 0. 3. 2. 2. 0. 1. 1. 2. 1.
 1. 0. 0. 1. 1. 2. 4. 4. 3. 4. 3. 4. 1. 1. 1. 1. 1. 3. 1. 4. 3. 4. 4. 4.
 3. 3. 1. 1. 3. 4. 2. 1. 4. 1. 2. 2. 3. 3. 2. 1. 1. 4. 4. 3. 3. 3. 4. 4.
 1. 3. 4. 4.]",[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287],0.4099312517163525,0.40949468242600306
Sequential,5,22,100,l-bfgs-b,True,0.9297501813927845,152.39234774388052,155.55425072697213,"[0. 0. 0. 1. 2. 0. 2. 1. 2. 1. 4. 1. 4. 2. 0. 0. 3. 4. 0. 0. 3. 0. 3. 2.
 2. 2. 0. 2. 0. 4. 0. 2. 4. 1. 0. 3. 1. 3. 3. 0. 4. 4. 1. 2. 0. 4. 0. 4.
 3. 2. 4. 4. 1. 0. 2. 3. 1. 1. 2. 3. 1. 1. 4. 3. 4. 0. 1. 4. 0. 1. 0. 3.
 0. 4. 0. 2. 1. 3. 4. 2. 3. 3. 4. 3. 4. 3. 1. 1. 3. 2. 3. 3. 3. 4. 3. 1.
 3. 1. 2. 4.]",[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287],0.43787868847979095,0.03372826895122172
No Sequential,5,22,100,l-bfgs-b,True,0.26464192219661725,160.74437904775715,170.76311637185213,"[0. 0. 0. 1. 2. 0. 2. 1. 2. 1. 4. 1. 4. 2. 0. 0. 3. 4. 0. 0. 3. 0. 3. 2.
 2. 2. 0. 2. 0. 4. 0. 2. 4. 1. 0. 3. 1. 3. 3. 0. 4. 4. 1. 2. 0. 4. 0. 4.
 3. 2. 4. 4. 1. 0. 2. 3. 1. 1. 2. 3. 1. 1. 4. 3. 4. 0. 1. 4. 0. 1. 0. 3.
 0. 4. 0. 2. 1. 3. 4. 2. 3. 3. 4. 3. 4. 3. 1. 1. 3. 2. 3. 3. 3. 4. 3. 1.
 3. 1. 2. 4.]",[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287],0.41395753742768904,0.5226295662726896
