P_0,P_1,P_2,P_3,P_4,P_5
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
0.999999,1e-06,0.0,0.0,0.0,0.0
0.999997,3e-06,0.0,0.0,0.0,0.0
0.999982,1.8e-05,0.0,0.0,0.0,0.0
0.999929,7.1e-05,0.0,0.0,0.0,0.0
0.999801,0.000199,0.0,0.0,0.0,0.0
0.999453,0.000547,0.0,0.0,0.0,0.0
0.998803,0.001197,0.0,0.0,0.0,0.0
0.997583,0.002417,0.0,0.0,0.0,0.0
0.995333,0.004667,0.0,0.0,0.0,0.0
0.991555,0.008445,0.0,0.0,0.0,0.0
0.985823,0.014177,0.0,0.0,0.0,0.0
0.977595,0.022405,0.0,0.0,0.0,0.0
0.965976,0.034024,0.0,0.0,0.0,0.0
0.950465,0.049535,0.0,0.0,0.0,0.0
0.930287,0.069713,0.0,0.0,0.0,0.0
0.905103,0.094897,0.0,0.0,0.0,0.0
0.874913,0.125087,0.0,0.0,0.0,0.0
0.839839,0.160161,0.0,0.0,0.0,0.0
0.800034,0.199966,0.0,0.0,0.0,0.0
0.756196,0.243804,0.0,0.0,0.0,0.0
0.708711,0.291289,0.0,0.0,0.0,0.0
0.658901,0.341099,0.0,0.0,0.0,0.0
0.607167,0.392833,0.0,0.0,0.0,0.0
0.554362,0.445638,0.0,0.0,0.0,0.0
0.502303,0.497697,0.0,0.0,0.0,0.0
0.450814,0.549186,0.0,0.0,0.0,0.0
0.401449,0.598551,0.0,0.0,0.0,0.0
0.354445,0.645555,0.0,0.0,0.0,0.0
0.310352,0.689642,6e-06,0.0,0.0,0.0
0.269385,0.730594,2.1e-05,0.0,0.0,0.0
0.232028,0.767922,5e-05,0.0,0.0,0.0
0.198536,0.801366,9.8e-05,0.0,0.0,0.0
0.168227,0.831605,0.000168,0.0,0.0,0.0
0.141862,0.857828,0.00031,0.0,0.0,0.0
0.118415,0.88105,0.000535,0.0,0.0,0.0
0.098156,0.900927,0.000917,0.0,0.0,0.0
0.080873,0.917666,0.001461,0.0,0.0,0.0
0.066125,0.931562,0.002313,0.0,0.0,0.0
0.053612,0.942834,0.003554,0.0,0.0,0.0
0.043276,0.951359,0.005365,0.0,0.0,0.0
0.034568,0.95761,0.007822,0.0,0.0,0.0
0.027489,0.96128,0.011231,0.0,0.0,0.0
0.021774,0.962546,0.01568,0.0,0.0,0.0
0.01708,0.961445,0.021475,0.0,0.0,0.0
0.013334,0.957954,0.028712,0.0,0.0,0.0
0.010289,0.951932,0.037778,1e-06,0.0,0.0
0.007911,0.942984,0.049102,3e-06,0.0,0.0
0.005939,0.931304,0.062742,1.5e-05,0.0,0.0
0.00443,0.916332,0.079184,5.4e-05,0.0,0.0
0.003281,0.898148,0.098433,0.000138,0.0,0.0
0.002471,0.876336,0.120869,0.000324,0.0,0.0
0.001807,0.851238,0.146333,0.000622,0.0,0.0
0.001279,0.822393,0.175118,0.00121,0.0,0.0
0.000919,0.789746,0.207083,0.002252,0.0,0.0
0.000623,0.75316,0.24228,0.003937,0.0,0.0
0.000451,0.712835,0.280077,0.006637,0.0,0.0
0.000299,0.669378,0.319592,0.010731,0.0,0.0
0.00021,0.622484,0.360385,0.016921,0.0,0.0
0.000126,0.572815,0.401353,0.025706,0.0,0.0
9.3e-05,0.52089,0.440683,0.038333,1e-06,0.0
6.9e-05,0.468003,0.476844,0.055082,2e-06,0.0
4.1e-05,0.414732,0.5077,0.077514,1.3e-05,0.0
2.4e-05,0.361399,0.532115,0.106377,8.5e-05,0.0
1.1e-05,0.308831,0.548763,0.142086,0.000309,0.0
7e-06,0.258786,0.555113,0.185024,0.00107,0.0
3e-06,0.211689,0.550071,0.235255,0.002982,0.0
2e-06,0.169057,0.531367,0.29252,0.007054,0.0
0.0,0.130493,0.501405,0.353294,0.014808,0.0
0.0,0.097187,0.459465,0.414433,0.028915,0.0
0.0,0.069325,0.406872,0.472025,0.051778,0.0
0.0,0.046614,0.346336,0.520816,0.086234,0.0
0.0,0.029279,0.2809,0.553724,0.136097,0.0
0.0,0.016524,0.215369,0.564916,0.203191,0.0
0.0,0.008215,0.152112,0.550371,0.289302,0.0
0.0,0.003262,0.095861,0.505424,0.395453,0.0
0.0,0.000832,0.049902,0.42786,0.521406,0.0
0.0,0.0,0.01741,0.316954,0.665636,0.0
0.0,0.0,0.0,0.174078,0.825922,0.0
0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0
