model,J,q_capacity,# consumers,method,success,beta1,fun_obj optimo,fun_obj,secuencialidad de elecciones,X_1
Sequential,10,20,100,l-bfgs-b,True,5.376226609630975,223.96549493771383,226.42681657071984,"[0. 9. 6. 4. 6. 6. 8. 1. 9. 4. 8. 0. 6. 9. 0. 7. 0. 6. 2. 3. 5. 3. 3. 7.
 9. 9. 5. 7. 0. 6. 5. 5. 1. 9. 2. 5. 4. 0. 9. 6. 4. 6. 0. 2. 5. 9. 5. 8.
 7. 8. 3. 7. 8. 5. 8. 1. 8. 0. 5. 0. 6. 0. 0. 5. 0. 5. 6. 1. 6. 6. 3. 5.
 9. 8. 8. 5. 7. 1. 0. 8. 7. 8. 0. 5. 4. 2. 7. 6. 8. 7. 1. 5. 5. 8. 1. 8.
 2. 0. 7. 4.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674]"
No Sequential,10,20,100,l-bfgs-b,True,5.376226609630975,223.96549493771383,226.42681657071984,"[0. 9. 6. 4. 6. 6. 8. 1. 9. 4. 8. 0. 6. 9. 0. 7. 0. 6. 2. 3. 5. 3. 3. 7.
 9. 9. 5. 7. 0. 6. 5. 5. 1. 9. 2. 5. 4. 0. 9. 6. 4. 6. 0. 2. 5. 9. 5. 8.
 7. 8. 3. 7. 8. 5. 8. 1. 8. 0. 5. 0. 6. 0. 0. 5. 0. 5. 6. 1. 6. 6. 3. 5.
 9. 8. 8. 5. 7. 1. 0. 8. 7. 8. 0. 5. 4. 2. 7. 6. 8. 7. 1. 5. 5. 8. 1. 8.
 2. 0. 7. 4.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674]"
Sequential,10,20,100,l-bfgs-b,True,1.988605685433513,229.37922789513405,229.37925672493103,"[8. 1. 5. 8. 6. 0. 9. 1. 4. 0. 0. 0. 2. 9. 1. 7. 4. 4. 3. 9. 9. 9. 3. 8.
 3. 6. 0. 3. 0. 1. 1. 3. 6. 4. 9. 9. 6. 5. 4. 8. 0. 9. 1. 8. 3. 5. 5. 2.
 9. 3. 5. 0. 0. 8. 3. 6. 5. 0. 5. 8. 1. 2. 2. 3. 7. 0. 2. 6. 7. 1. 7. 6.
 5. 3. 6. 3. 0. 1. 0. 7. 5. 7. 9. 1. 8. 1. 6. 1. 7. 3. 0. 5. 0. 6. 5. 2.
 0. 4. 2. 0.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674]"
No Sequential,10,20,100,l-bfgs-b,True,1.988605685433513,229.37922789513405,229.37925672493103,"[8. 1. 5. 8. 6. 0. 9. 1. 4. 0. 0. 0. 2. 9. 1. 7. 4. 4. 3. 9. 9. 9. 3. 8.
 3. 6. 0. 3. 0. 1. 1. 3. 6. 4. 9. 9. 6. 5. 4. 8. 0. 9. 1. 8. 3. 5. 5. 2.
 9. 3. 5. 0. 0. 8. 3. 6. 5. 0. 5. 8. 1. 2. 2. 3. 7. 0. 2. 6. 7. 1. 7. 6.
 5. 3. 6. 3. 0. 1. 0. 7. 5. 7. 9. 1. 8. 1. 6. 1. 7. 3. 0. 5. 0. 6. 5. 2.
 0. 4. 2. 0.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674]"
Sequential,10,20,100,l-bfgs-b,True,3.816179067973025,227.04083348434997,227.76632117583958,"[2. 2. 5. 2. 0. 1. 0. 2. 8. 2. 2. 5. 5. 5. 8. 7. 9. 5. 5. 7. 5. 3. 5. 6.
 9. 7. 4. 0. 8. 5. 1. 2. 8. 6. 0. 7. 5. 2. 5. 5. 2. 4. 7. 5. 6. 9. 1. 6.
 2. 4. 4. 2. 5. 7. 9. 3. 3. 0. 1. 9. 8. 0. 0. 5. 0. 6. 0. 3. 9. 7. 6. 0.
 5. 6. 4. 3. 2. 5. 7. 1. 5. 8. 7. 4. 3. 6. 0. 0. 2. 0. 6. 5. 8. 0. 0. 2.
 6. 4. 7. 2.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674]"
No Sequential,10,20,100,l-bfgs-b,True,3.816179067973025,227.04083348434997,227.76632117583958,"[2. 2. 5. 2. 0. 1. 0. 2. 8. 2. 2. 5. 5. 5. 8. 7. 9. 5. 5. 7. 5. 3. 5. 6.
 9. 7. 4. 0. 8. 5. 1. 2. 8. 6. 0. 7. 5. 2. 5. 5. 2. 4. 7. 5. 6. 9. 1. 6.
 2. 4. 4. 2. 5. 7. 9. 3. 3. 0. 1. 9. 8. 0. 0. 5. 0. 6. 0. 3. 9. 7. 6. 0.
 5. 6. 4. 3. 2. 5. 7. 1. 5. 8. 7. 4. 3. 6. 0. 0. 2. 0. 6. 5. 8. 0. 0. 2.
 6. 4. 7. 2.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674]"
Sequential,10,20,100,l-bfgs-b,True,-0.12780229243950655,230.25490243833246,231.2589047155839,"[5. 2. 8. 6. 2. 2. 3. 0. 2. 7. 0. 9. 9. 3. 2. 8. 7. 3. 1. 2. 7. 8. 5. 3.
 7. 9. 2. 8. 4. 1. 8. 8. 8. 9. 3. 2. 0. 1. 0. 7. 0. 8. 5. 8. 8. 6. 7. 2.
 8. 4. 8. 7. 1. 1. 7. 8. 4. 9. 3. 6. 8. 0. 3. 6. 3. 6. 4. 7. 3. 9. 2. 8.
 8. 0. 7. 3. 7. 9. 1. 0. 0. 8. 6. 7. 9. 6. 4. 5. 0. 7. 1. 4. 3. 4. 1. 6.
 0. 5. 9. 9.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674]"
No Sequential,10,20,100,l-bfgs-b,True,-0.12780229243950655,230.25490243833246,231.2589047155839,"[5. 2. 8. 6. 2. 2. 3. 0. 2. 7. 0. 9. 9. 3. 2. 8. 7. 3. 1. 2. 7. 8. 5. 3.
 7. 9. 2. 8. 4. 1. 8. 8. 8. 9. 3. 2. 0. 1. 0. 7. 0. 8. 5. 8. 8. 6. 7. 2.
 8. 4. 8. 7. 1. 1. 7. 8. 4. 9. 3. 6. 8. 0. 3. 6. 3. 6. 4. 7. 3. 9. 2. 8.
 8. 0. 7. 3. 7. 9. 1. 0. 0. 8. 6. 7. 9. 6. 4. 5. 0. 7. 1. 4. 3. 4. 1. 6.
 0. 5. 9. 9.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674]"
Sequential,10,20,100,l-bfgs-b,True,1.5185042596620293,229.7459567338223,229.79753462152294,"[5. 2. 1. 0. 0. 1. 2. 9. 8. 1. 9. 6. 8. 0. 5. 3. 8. 3. 0. 1. 5. 4. 6. 0.
 3. 1. 6. 0. 6. 5. 6. 7. 4. 7. 7. 3. 5. 4. 2. 9. 7. 9. 6. 3. 6. 3. 5. 6.
 7. 3. 5. 1. 4. 1. 0. 1. 4. 1. 0. 7. 2. 5. 3. 4. 6. 7. 7. 9. 8. 6. 5. 4.
 4. 8. 8. 0. 0. 6. 7. 9. 2. 9. 1. 2. 4. 1. 3. 5. 7. 7. 7. 2. 9. 5. 5. 6.
 8. 8. 4. 9.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674]"
No Sequential,10,20,100,l-bfgs-b,True,1.5185042596620293,229.7459567338223,229.79753462152294,"[5. 2. 1. 0. 0. 1. 2. 9. 8. 1. 9. 6. 8. 0. 5. 3. 8. 3. 0. 1. 5. 4. 6. 0.
 3. 1. 6. 0. 6. 5. 6. 7. 4. 7. 7. 3. 5. 4. 2. 9. 7. 9. 6. 3. 6. 3. 5. 6.
 7. 3. 5. 1. 4. 1. 0. 1. 4. 1. 0. 7. 2. 5. 3. 4. 6. 7. 7. 9. 8. 6. 5. 4.
 4. 8. 8. 0. 0. 6. 7. 9. 2. 9. 1. 2. 4. 1. 3. 5. 7. 7. 7. 2. 9. 5. 5. 6.
 8. 8. 4. 9.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674]"
