P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.999999,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.999999,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.999997,3e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.999995,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.999993,7e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.999992,8e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.999986,1.4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.999979,2.1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.999973,2.7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.999957,4.3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.999937,6.3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.999922,7.8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.999881,0.000119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.999828,0.000172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.99976,0.00024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.999674,0.000326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.99957,0.00043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.999411,0.000589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.999239,0.000761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.998999,0.001001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.998704,0.001296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.998352,0.001648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.997918,0.002082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.99738,0.00262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.99667,0.00333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.995878,0.004121,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.994927,0.00507,3e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.993799,0.006198,3e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.992466,0.007531,3e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.990972,0.009024,4e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.989133,0.010861,6e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9871,0.012894,6e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.984623,0.015369,8e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.981824,0.018161,1.5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.978536,0.021436,2.8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.974898,0.025054,4.8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.970763,0.029161,7.6e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.966042,0.033853,0.000105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.960809,0.039041,0.00015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.954647,0.045143,0.00021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.948038,0.051665,0.000297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.940617,0.058941,0.000442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.932317,0.067073,0.00061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.923006,0.07614,0.000854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.913026,0.085826,0.001148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.902108,0.096382,0.001509,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.89014,0.107812,0.002045,3e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.877135,0.120205,0.002653,7e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.863161,0.133345,0.003484,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.848077,0.147386,0.004523,1.4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.832008,0.162233,0.005735,2.4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.814887,0.177777,0.007297,3.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.796512,0.194243,0.009182,6.3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.776951,0.211518,0.011441,9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.756353,0.22937,0.01413,0.000147,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.734904,0.247513,0.017356,0.000227,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.712127,0.266336,0.021216,0.000321,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.688268,0.285321,0.025945,0.000466,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.663418,0.304471,0.031434,0.000677,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.638084,0.323002,0.037931,0.000982,1e-06,0.0,0.0,0.0,0.0,0.0,0.0
0.611832,0.341455,0.045306,0.001402,5e-06,0.0,0.0,0.0,0.0,0.0,0.0
0.584546,0.359811,0.053694,0.00194,9e-06,0.0,0.0,0.0,0.0,0.0,0.0
0.556444,0.377675,0.063209,0.002654,1.8e-05,0.0,0.0,0.0,0.0,0.0,0.0
0.527832,0.394588,0.073952,0.003601,2.7e-05,0.0,0.0,0.0,0.0,0.0,0.0
0.498998,0.410106,0.086026,0.00482,5e-05,0.0,0.0,0.0,0.0,0.0,0.0
0.470012,0.423799,0.099658,0.006442,8.8e-05,1e-06,0.0,0.0,0.0,0.0,0.0
0.440852,0.435938,0.114498,0.008578,0.000133,1e-06,0.0,0.0,0.0,0.0,0.0
0.411449,0.446507,0.130564,0.011269,0.000209,2e-06,0.0,0.0,0.0,0.0,0.0
0.382535,0.454521,0.148029,0.014605,0.000308,2e-06,0.0,0.0,0.0,0.0,0.0
0.35388,0.460087,0.166883,0.018678,0.00047,2e-06,0.0,0.0,0.0,0.0,0.0
0.325593,0.463444,0.186412,0.02383,0.000718,3e-06,0.0,0.0,0.0,0.0,0.0
0.297817,0.464339,0.206861,0.029858,0.001118,7e-06,0.0,0.0,0.0,0.0,0.0
