model,J,q_capacity,# consumers,method,success,beta1,fun_obj optimo,fun_obj,secuencialidad de elecciones,X_1,std_error_beta1,p_value_beta1
Sequential,5,50,100,l-bfgs-b,True,3.0150401131571254,159.18256518240517,159.3902975167328,"[0. 2. 0. 3. 2. 3. 3. 0. 1. 3. 2. 3. 4. 2. 4. 0. 4. 3. 0. 1. 2. 2. 2. 4.
 2. 2. 4. 4. 0. 0. 1. 0. 3. 3. 3. 2. 4. 3. 4. 4. 4. 4. 3. 3. 0. 4. 4. 0.
 0. 0. 0. 4. 0. 2. 2. 2. 1. 2. 0. 2. 4. 0. 1. 3. 2. 1. 0. 0. 0. 0. 2. 4.
 2. 2. 0. 2. 0. 1. 0. 3. 0. 1. 2. 4. 3. 0. 2. 0. 0. 0. 4. 2. 3. 4. 0. 1.
 1. 4. 4. 0.]",[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572],1.5599017300346616,0.05325593847281085
No Sequential,5,50,100,l-bfgs-b,True,3.0150401131571254,159.18256518240517,159.3902975167328,"[0. 2. 0. 3. 2. 3. 3. 0. 1. 3. 2. 3. 4. 2. 4. 0. 4. 3. 0. 1. 2. 2. 2. 4.
 2. 2. 4. 4. 0. 0. 1. 0. 3. 3. 3. 2. 4. 3. 4. 4. 4. 4. 3. 3. 0. 4. 4. 0.
 0. 0. 0. 4. 0. 2. 2. 2. 1. 2. 0. 2. 4. 0. 1. 3. 2. 1. 0. 0. 0. 0. 2. 4.
 2. 2. 0. 2. 0. 1. 0. 3. 0. 1. 2. 4. 3. 0. 2. 0. 0. 0. 4. 2. 3. 4. 0. 1.
 1. 4. 4. 0.]",[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572],1.5599017300346616,0.05325593847281085
Sequential,5,50,100,l-bfgs-b,True,4.198804005036209,157.37055838070123,158.38716716884645,"[0. 3. 4. 1. 2. 1. 2. 1. 2. 3. 3. 4. 0. 3. 2. 4. 1. 0. 1. 4. 3. 0. 4. 0.
 1. 0. 2. 2. 2. 0. 0. 0. 0. 3. 3. 0. 3. 3. 0. 0. 1. 2. 3. 3. 3. 0. 3. 0.
 2. 1. 2. 4. 3. 0. 2. 1. 0. 1. 3. 0. 2. 0. 1. 2. 4. 0. 2. 0. 2. 3. 4. 4.
 4. 3. 2. 0. 3. 0. 0. 2. 0. 2. 3. 2. 3. 0. 3. 2. 1. 0. 0. 0. 0. 2. 4. 4.
 0. 2. 0. 3.]",[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572],1.5146247456848991,0.005568318799950234
No Sequential,5,50,100,l-bfgs-b,True,4.198804005036209,157.37055838070123,158.38716716884645,"[0. 3. 4. 1. 2. 1. 2. 1. 2. 3. 3. 4. 0. 3. 2. 4. 1. 0. 1. 4. 3. 0. 4. 0.
 1. 0. 2. 2. 2. 0. 0. 0. 0. 3. 3. 0. 3. 3. 0. 0. 1. 2. 3. 3. 3. 0. 3. 0.
 2. 1. 2. 4. 3. 0. 2. 1. 0. 1. 3. 0. 2. 0. 1. 2. 4. 0. 2. 0. 2. 3. 4. 4.
 4. 3. 2. 0. 3. 0. 0. 2. 0. 2. 3. 2. 3. 0. 3. 2. 1. 0. 0. 0. 0. 2. 4. 4.
 0. 2. 0. 3.]",[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572],1.5146247456848991,0.005568318799950234
Sequential,5,50,100,l-bfgs-b,True,-0.20757485890896168,160.93657742678118,161.79319110155865,"[4. 0. 1. 4. 2. 2. 4. 3. 2. 3. 4. 0. 2. 1. 3. 2. 4. 2. 0. 3. 2. 3. 1. 4.
 1. 3. 2. 0. 0. 0. 0. 1. 4. 3. 0. 4. 2. 3. 4. 0. 0. 0. 2. 3. 1. 3. 1. 0.
 2. 3. 3. 4. 0. 1. 4. 1. 1. 1. 1. 4. 2. 1. 4. 0. 1. 0. 3. 2. 3. 3. 4. 4.
 4. 0. 1. 4. 4. 4. 3. 0. 2. 4. 3. 4. 1. 4. 1. 2. 0. 3. 4. 1. 4. 0. 1. 1.
 1. 3. 1. 2.]",[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572],1.7321790797914958,0.9046142312433267
No Sequential,5,50,100,l-bfgs-b,True,-0.20757485890896168,160.93657742678118,161.79319110155865,"[4. 0. 1. 4. 2. 2. 4. 3. 2. 3. 4. 0. 2. 1. 3. 2. 4. 2. 0. 3. 2. 3. 1. 4.
 1. 3. 2. 0. 0. 0. 0. 1. 4. 3. 0. 4. 2. 3. 4. 0. 0. 0. 2. 3. 1. 3. 1. 0.
 2. 3. 3. 4. 0. 1. 4. 1. 1. 1. 1. 4. 2. 1. 4. 0. 1. 0. 3. 2. 3. 3. 4. 4.
 4. 0. 1. 4. 4. 4. 3. 0. 2. 4. 3. 4. 1. 4. 1. 2. 0. 3. 4. 1. 4. 0. 1. 1.
 1. 3. 1. 2.]",[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572],1.7321790797914958,0.9046142312433267
Sequential,5,50,100,l-bfgs-b,True,4.157043722288383,157.44647330159628,158.42350798290488,"[1. 0. 0. 1. 1. 0. 4. 4. 1. 1. 0. 0. 4. 2. 4. 1. 2. 0. 0. 2. 2. 2. 3. 4.
 3. 4. 2. 0. 2. 3. 0. 2. 1. 0. 0. 2. 1. 2. 0. 0. 0. 4. 0. 2. 2. 1. 3. 1.
 4. 4. 0. 3. 2. 0. 4. 4. 3. 1. 1. 3. 2. 1. 0. 0. 1. 2. 1. 3. 3. 0. 3. 2.
 0. 0. 0. 1. 2. 1. 3. 0. 1. 0. 0. 0. 0. 2. 0. 4. 2. 0. 1. 4. 2. 0. 0. 3.
 2. 1. 3. 3.]",[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572],1.5160602192390582,0.006106553213302446
No Sequential,5,50,100,l-bfgs-b,True,4.157043722288383,157.44647330159628,158.42350798290488,"[1. 0. 0. 1. 1. 0. 4. 4. 1. 1. 0. 0. 4. 2. 4. 1. 2. 0. 0. 2. 2. 2. 3. 4.
 3. 4. 2. 0. 2. 3. 0. 2. 1. 0. 0. 2. 1. 2. 0. 0. 0. 4. 0. 2. 2. 1. 3. 1.
 4. 4. 0. 3. 2. 0. 4. 4. 3. 1. 1. 3. 2. 1. 0. 0. 1. 2. 1. 3. 3. 0. 3. 2.
 0. 0. 0. 1. 2. 1. 3. 0. 1. 0. 0. 0. 0. 2. 0. 4. 2. 0. 1. 4. 2. 0. 0. 3.
 2. 1. 3. 3.]",[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572],1.5160602192390582,0.006106553213302446
Sequential,5,50,100,l-bfgs-b,True,0.9117764251670921,160.79684213969006,161.01595199359764,"[3. 1. 2. 4. 2. 3. 0. 3. 2. 2. 4. 3. 3. 0. 4. 2. 0. 3. 4. 2. 1. 2. 1. 4.
 1. 1. 4. 1. 4. 1. 3. 3. 1. 2. 2. 0. 4. 4. 2. 2. 3. 0. 0. 2. 0. 4. 1. 0.
 0. 0. 4. 3. 0. 4. 4. 2. 3. 4. 1. 3. 0. 3. 0. 4. 2. 0. 1. 0. 2. 0. 3. 1.
 2. 0. 1. 1. 0. 2. 2. 2. 0. 1. 1. 4. 3. 0. 4. 2. 1. 2. 0. 0. 1. 0. 4. 3.
 4. 2. 3. 1.]",[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572],1.6641020971704712,0.583754426208621
No Sequential,5,50,100,l-bfgs-b,True,0.9117764251670921,160.79684213969006,161.01595199359764,"[3. 1. 2. 4. 2. 3. 0. 3. 2. 2. 4. 3. 3. 0. 4. 2. 0. 3. 4. 2. 1. 2. 1. 4.
 1. 1. 4. 1. 4. 1. 3. 3. 1. 2. 2. 0. 4. 4. 2. 2. 3. 0. 0. 2. 0. 4. 1. 0.
 0. 0. 4. 3. 0. 4. 4. 2. 3. 4. 1. 3. 0. 3. 0. 4. 2. 0. 1. 0. 2. 0. 3. 1.
 2. 0. 1. 1. 0. 2. 2. 2. 0. 1. 1. 4. 3. 0. 4. 2. 1. 2. 0. 0. 1. 0. 4. 3.
 4. 2. 3. 1.]",[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572],1.6641020971704712,0.583754426208621
