P_0,P_1,P_2,P_3,P_4,P_5
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
0.999999,1e-06,0.0,0.0,0.0,0.0
0.999998,2e-06,0.0,0.0,0.0,0.0
0.999993,7e-06,0.0,0.0,0.0,0.0
0.999987,1.3e-05,0.0,0.0,0.0,0.0
0.999982,1.8e-05,0.0,0.0,0.0,0.0
0.999964,3.6e-05,0.0,0.0,0.0,0.0
0.999938,6.2e-05,0.0,0.0,0.0,0.0
0.999905,9.5e-05,0.0,0.0,0.0,0.0
0.999849,0.000151,0.0,0.0,0.0,0.0
0.999746,0.000254,0.0,0.0,0.0,0.0
0.999613,0.000387,0.0,0.0,0.0,0.0
0.999406,0.000594,0.0,0.0,0.0,0.0
0.999101,0.000899,0.0,0.0,0.0,0.0
0.998708,0.001292,0.0,0.0,0.0,0.0
0.998197,0.001803,0.0,0.0,0.0,0.0
0.997489,0.002511,0.0,0.0,0.0,0.0
0.996492,0.003508,0.0,0.0,0.0,0.0
0.995229,0.004771,0.0,0.0,0.0,0.0
0.993632,0.006368,0.0,0.0,0.0,0.0
0.99161,0.00839,0.0,0.0,0.0,0.0
0.98906,0.01094,0.0,0.0,0.0,0.0
0.985975,0.014025,0.0,0.0,0.0,0.0
0.98216,0.01784,0.0,0.0,0.0,0.0
0.97767,0.02233,0.0,0.0,0.0,0.0
0.972227,0.027772,1e-06,0.0,0.0,0.0
0.965935,0.034063,2e-06,0.0,0.0,0.0
0.958329,0.041667,4e-06,0.0,0.0,0.0
0.949507,0.050478,1.5e-05,0.0,0.0,0.0
0.939355,0.060613,3.2e-05,0.0,0.0,0.0
0.927843,0.072103,5.4e-05,0.0,0.0,0.0
0.914614,0.08529,9.6e-05,0.0,0.0,0.0
0.899573,0.10026,0.000167,0.0,0.0,0.0
0.882998,0.116712,0.00029,0.0,0.0,0.0
0.86451,0.135016,0.000474,0.0,0.0,0.0
0.844186,0.155028,0.000786,0.0,0.0,0.0
0.821696,0.17704,0.001264,0.0,0.0,0.0
0.7972,0.200788,0.002012,0.0,0.0,0.0
0.770597,0.226307,0.003096,0.0,0.0,0.0
0.742117,0.253266,0.004617,0.0,0.0,0.0
0.711666,0.281676,0.006658,0.0,0.0,0.0
0.679421,0.311027,0.009551,1e-06,0.0,0.0
0.645346,0.341126,0.013523,5e-06,0.0,0.0
0.609384,0.371811,0.018798,7e-06,0.0,0.0
0.572464,0.401955,0.025565,1.6e-05,0.0,0.0
0.534059,0.431559,0.034338,4.4e-05,0.0,0.0
0.49457,0.459869,0.045465,9.6e-05,0.0,0.0
0.454286,0.48609,0.059389,0.000235,0.0,0.0
0.413821,0.50932,0.076394,0.000465,0.0,0.0
0.373688,0.528449,0.096939,0.000924,0.0,0.0
0.333492,0.543574,0.121249,0.001685,0.0,0.0
0.294814,0.552551,0.149663,0.002972,0.0,0.0
0.257213,0.555302,0.182364,0.005121,0.0,0.0
0.221425,0.551384,0.218619,0.008572,0.0,0.0
0.187775,0.539991,0.258407,0.013827,0.0,0.0
0.156633,0.521078,0.300724,0.021565,0.0,0.0
0.128003,0.495471,0.343829,0.032693,4e-06,0.0
0.102504,0.46257,0.386436,0.048466,2.4e-05,0.0
0.080009,0.423381,0.426848,0.069657,0.000105,0.0
0.061144,0.378578,0.462059,0.097823,0.000396,0.0
0.045331,0.330636,0.488182,0.134687,0.001164,0.0
0.032318,0.280928,0.504506,0.179396,0.002852,0.0
0.022145,0.230369,0.507765,0.233096,0.006625,0.0
0.014394,0.181858,0.495312,0.294314,0.014122,0.0
0.008767,0.137002,0.466748,0.360174,0.027309,0.0
0.004884,0.097427,0.421742,0.426347,0.0496,0.0
0.002458,0.064438,0.362969,0.485271,0.084864,0.0
0.001043,0.038979,0.292931,0.529853,0.137194,0.0
0.000363,0.020285,0.218165,0.549805,0.211382,0.0
7.6e-05,0.008374,0.144898,0.535211,0.311441,0.0
